Time, Date, Light, Temperature, humidity
13:41:10, 30-6-2022,376,24.2,66
13:41:11, 30-6-2022,375,24.2,66
13:41:12, 30-6-2022,375,24.1,65
13:41:14, 30-6-2022,365,24.1,65
13:41:15, 30-6-2022,376,24.1,64
13:41:16, 30-6-2022,374,24.1,64
13:41:17, 30-6-2022,373,24.2,64
13:41:18, 30-6-2022,374,24.2,64
13:41:20, 30-6-2022,374,24.2,64
13:41:21, 30-6-2022,376,24.2,64
13:41:22, 30-6-2022,376,24.2,64
13:41:23, 30-6-2022,375,24.2,64
13:41:25, 30-6-2022,372,24.2,64
13:41:26, 30-6-2022,374,24.2,64
13:41:27, 30-6-2022,373,24.2,64
13:41:28, 30-6-2022,380,24.2,64
13:41:30, 30-6-2022,384,24.2,64
13:41:31, 30-6-2022,388,24.2,64
13:41:32, 30-6-2022,386,24.2,64
13:41:33, 30-6-2022,387,24.2,64
13:41:34, 30-6-2022,386,24.2,64
13:41:36, 30-6-2022,384,24.2,64
13:41:37, 30-6-2022,387,24.2,64
13:41:38, 30-6-2022,387,24.2,64
13:41:39, 30-6-2022,384,24.2,64
13:41:41, 30-6-2022,386,24.2,64
13:41:42, 30-6-2022,384,24.2,64
13:41:43, 30-6-2022,385,24.2,64
13:41:44, 30-6-2022,385,24.2,64
13:41:46, 30-6-2022,385,24.2,64
13:41:47, 30-6-2022,384,24.2,64
13:41:48, 30-6-2022,385,24.2,64
13:41:49, 30-6-2022,386,24.2,64
13:41:50, 30-6-2022,384,24.2,64
13:41:52, 30-6-2022,384,24.2,64
13:41:53, 30-6-2022,386,24.2,64
13:41:54, 30-6-2022,369,24.2,64
13:41:55, 30-6-2022,362,24.2,64
13:41:57, 30-6-2022,371,24.2,64
13:41:58, 30-6-2022,379,24.2,64
13:41:59, 30-6-2022,387,24.2,64
13:42:00, 30-6-2022,375,24.2,64
13:42:02, 30-6-2022,388,24.2,64
13:42:03, 30-6-2022,389,24.2,64
13:42:04, 30-6-2022,367,24.2,64
13:42:05, 30-6-2022,369,24.2,64
13:42:07, 30-6-2022,370,24.2,64
13:42:08, 30-6-2022,371,24.2,64
13:42:09, 30-6-2022,385,24.2,64
13:42:10, 30-6-2022,389,24.2,64
13:42:11, 30-6-2022,389,24.2,64
13:42:13, 30-6-2022,385,24.2,64
13:42:14, 30-6-2022,374,24.2,64
13:42:15, 30-6-2022,368,24.2,64
